title	content
תובענה משמעתית נגד היועצת של שרה נתניהו בגין פרסום פוסטים מסיתים	"נציבות שירות המדינה הגישה לבית הדין למשמעת של עובדי המדינה בירושלים תובענה משמעתית נגד ציפי נבון, היועצת של רעיית ראש הממשלה שרה נתניהו, בגין פרסום שורת פוסטים מסיתים. ""במעשיה אלו התבטאה הנאשמת התבטאויות חמורות ופוגעניות אשר אינן הולמות עובדי מדינה, בוודאי שלא עובדת משרד ראש הממשלה, שמועסקת במעון ראש הממשלה"", צוין בתובענה. "
"מיכל וולדיגר מתפטרת מתפקידה כסגנית שר האוצר: ""לטובת פעילות מירבית לשיקום"""	"סגנית שר האוצר מיכל וולדיגר הודיעה על סיום תפקידה וחזרתה לכנסת ""לטובת פעילות מירבית לשיקום החוסן ובריאות הנפש והפניית המשאבים התקציביים לניצחון המלחמה"". בפוסט שפרסמה בחשבון הפייסבוק שלה, כתבה וולדיגר: ""אני רואה ושומעת את הציבור, את כאבו, את אובדן האמון במערכות המדינה השונות, את הפגיעה העצומה בחוסן וברור לי שהמשימה שלי, בוודאי בעת הזו, היא לבנות מחדש את האמון. להחזיר לאזרח את התחושה שרואים אותו, שסופרים אותו, שהוא חשוב ונחוץ ויש לו על מי לסמוך""."
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בכיסופים שבעוטף עזה.
המטח למרכז: פגיעה בבניין בפתח תקווה, שריפה במקום	צוותי כיבוי והצלה פועלים לכיבוי שריפה בדירה בפתח תקווה בעקבות פגיעה ישירה במטח האחרון שנורה לעבר ערי המרכז. טרם ברור אם מדובר בפגיעה ישירה של רקטה או ברסיסים, ולא ידוע על לכודים או נפגעים בשלב זה.
"מד""א מעדכן בעקבות המטח האחרון: לא התקבלו קריאות על נפילות או נפגעים"	"מד""א מעדכן בהמשך לאזעקות שנשמעו בתל אביב, גוש דן ובשרון כי בשלב זה לא התקבלו קריאות על נפילות או נפגעים."
אזעקות בתל אביב, בגוש דן, בשפלה ובשרון	אזעקות הופעלו בגוש דן, בשרון ובשפלה. בין היתר בתל אביב, בת ים, חולון, אור יהודה, בני ברק, גבעת שמואל, גבעתיים, גני תקווה, יהוד-מונוסון, סביון, קריית אונו, פתח תקווה, רמת גן, באר יעקב, רחובות, נס ציונה, הוד השרון פלמחים וראשון לציון
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בכיסופים שבעוטף עזה.
"צהל מבצע ירי ארטילרי לעבר דרום לבנון"": הדי פיצוצים נשמעים בגליל העליון"	"עיריית מעלות תרשיחא מסרה לתושביה כי מקורם של הדי הפיצוצים שנשמעים באזור הם כתוצאה מירי ארטילרי שמבצע צה""ל לעבר גבול הלבנון. "
"שר החוץ הפלסטיני: ""על ישראל להסכים להפסקת אש מלאה והחזרת אספקת מים וחשמל"""	"שר החוץ הפלסטיני ריאד אל-מלכי אמר בהאג כי ישראל צריכה להסכים להפסקת אש מלאה ברצועת עזה כדי לאפשר הכנסת סיוע הומניטרי הנחוץ באופן דחוף. על החלטת האיחוד האירופי שקוראת להפסקת אש, אמר אל-מלכי כי היא אינה מתקבלת על הדעת, שכן היא לא מבטיחה שסיוע יוכל להיכנס לרצועה וכי תוחזר אספקת מים וחשמל. לדבריו, ""ישראל מנהלת מלחמת נקמה, פתרון שתי המדינות רלוונטי מתמיד""."
במהלך הלילה נעצרו 60 מבוקשים ביהודה ושומרון, בהם 46 פעילי חמאס	"במהלך הלילה נעצרו ביהודה ושומרון יותר מ-60 מבוקשים, מתוכם 46 פעילי חמאס. מתחילת המלחמה נעצרו כאלף מבוקשים, מתוכם 660 משתייכים לחמאס. כך מסרו בהודעה משותפת דובר צה""ל ודוברות שב""כ."
דיווח: 12 משאיות סיוע נוספות נכנסו לרצועת עזה	רשת הטלוויזיה הסעודית אל-ערביה דיווחה כי הבוקר הוכנסו לרצועת עזה דרך מעבר רפיח 12 משאיות סיוע נוספות, שבהן מים, מזון ותרופות. בסך הכל, מתחילת המלחמה נכנסו לרצועה 74 משאיות.
"רוסיה: כניסה קרקעית תחמיר את המשבר בעזה, יש לקבל החלטה מאוזנת באו""ם"	"דובר הקרמלין דמיטרי פסקוב אמר כי כניסה קרקעית של ישראל לרצועת עזה רק תחמיר את המשבר ההומניטרי, שכבר חמור מאוד. עוד ציין פסקוב כי יש להמשיך במאמצים לקבל החלטה ""מאוזנת"" באו""ם על המצב בעזה למרות הכישלונות הקודמים בכך. אמש, רוסיה וסין הטילו וטו במועצת הביטחון של האו""ם על ההצעה שהגישה ארה""ב שגינתה את חמאס, קראה לשחרור מיידי של החטופים והכירה בזכות להגנה עצמית מול הטרור."
"גנץ: ""כל מי שהיה שותף להנהגה לא יכול להסיר מעצמו את האחריות, כולל אני"""	"יו""ר המחנה הממלכתי בני גנץ נשא הצהרה לתקשורת והתייחס להצטרפות מפלגתו לממשלת החירום. ""עברו שבועיים מאז שנכנסנו לממשלה והקמנו את קבינט ניהול המלחמה, ואני אומר לכם בביטחון מלא, שזה היה הצעד הנכון למדינת ישראל והצעד הזה כבר הוכיח עצמו"". על שאלת האחריות, אמר גנץ: כל מי שהיה שותף להנהגה ולהובלת מדינת ישראל בכל תפקיד לא יכול להסיר מעצמו את האחריות ובכלל זה אני. אני יותר מעשרים שנה נמצא בעמדות מפתח ביטחוניות ומדיניות, אינני משחרר את עצמי מהאחריות, לא לדברים שקרו ולא לדברים שלא קרו""."
"ארדואן שוחח עם האפיפיור: ""ישראל מבצעת טבח, שתיקת הקהילה הבינלאומית מבישה"""	"נשיא טורקיה רג'פ טאיפ ארדואן אמר לאפיפיור פרנסיסקוס בשיחת טלפון כי ""ישראל מבצעת טבח ברצועת עזה והשתיקה של הקהילה הבינלאומית מביישת"". כך מסרה לשכתו של ארדואן, וציינו כי בשיחה אמר הנשיא הטורקי לאפיפיור כי על כל המדינות להרים את קולן נגד המשבר ההומניטרי באזור."
"דובר צה""ל: חמאס ממשיך להציב את תושבי הרצועה כמגן אנושי ומונע מהם להתפנות"	"בימים האחרונים פנו חיילי וקציני יחידה 504 באגף המודיעין בקריאה לתושבים ברצועת עזה להתפנות דרומה למען ביטחונם. כך מסר דובר צה""ל וציין כי חמאס ממשיך להציב את תושבי הרצועה כמגן אנושי ומונע מהם להתפנות, ""כפי שראינו גם בעבר על ידי הצבת מחסומים שהציב ארגון הטרור"". "
"שרה בספרד: ""אירופה צריכה לנתק יחסים עם ישראל, נתניהו צריך לעמוד לדין"""	"השרה הספרדית לזכויות חברתיות איון בלרה אורטגה קראה למדינות אירופה לנתק את היחסים הדיפלומטיים עם ישראל, להטיל עליה סנקציות ואמברגו נשק, להכריז על ראש הממשלה בנימין נתניהו כאישיות לא רצויה - ולהעמידו לדין בבית הדין הפלילי הבינלאומי בהאג. עוד אמרה השרה כי ""אסור לאפשר לישראל להפוך את עזה למחנה השמדה"". לסרטון שהעלתה ברשת X (טוויטר לשעבר), ומציג את עמדתה וטענותיה - יש כבר יותר מ-1.2 מיליון צפיות."
"לפיד הציג תוכנית פעולה מטעמו לשיפור הטיפול האזרחי: ""צאו מההלם, לכו לעבוד"""	"ראש האופוזיציה יאיר לפיד הציג תוכנית פעולה מטעמו לשיפור השירות והטיפול האזרחי, הכוללת שמונה צעדים ראשונים שלדבריו על הממשלה לנקוט בהם כדי להחזיר את המשק והאזרחים למסלול של חיים מתפקדים. ""אפשר להבין את ההלם והשיתוק של המערכות הממשלתיות בימים הראשונים, אי אפשר להבין למה המערכת עוד לא יצאה מההלם"", אמר לפיד בהצהרה. ""העברנו את התוכנית למשרד ראש הממשלה, אנחנו מציעים לכל הגורמים האלה את עזרתנו ונסיוננו. צאו מההלם, לכו לעבוד, אנחנו נעזור""."
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בנירים שבעוטף עזה.
טיקטוק הסירה יותר מ-775 אלף סרטונים מתחילת המלחמה	הרשת החברתית טיקטוק הודיעה כי מתחילת המלחמה הסירה יותר מ-775 אלף סרטונים וסגרה יותר מ-14 אלף שידורים חיים שקידמו אלימות, טרור, שיח שנאה, מידע מוטעה והפרות אחרות של הנחיות הקהילה של הפלטפורמה באזור ישראל, יהודה ושומרון ועזה. בשבוע שעבר דרש האיחוד האירופי מטיקטוק, ומהמתחרה מטא, לדווח לו כיצד הן פועלות כדי למנוע הפצה של דיסאינפורמציה ותוכן לא חוקי בעקבות המלחמה. שתי החברות היו אמורות למסור את תשובותיהן לאיחוד אתמול.
עובדת בכירה במשרד הבריאות נחקרה בחשד להטיית מכרזים בשווי מיליוני שקלים	המשטרה עצרה לחקירה עובדת בכירה במשרד הבריאות, יועצת ששכרה ומספר מנהלים של חברות תוכנה גדולות במשק בחשד להטיית מכרזים, מרמה והפרת אמונים. החקירה נפתחה בעקבות תלונה לפיה ממצאי הביקורת של משרד הבריאות העלו חשד לביצוע עבירות פליליות בכל הנוגע להתנהלות מול ספקי השירות החיצוניים, לרבות העברת עבודות לחברות שונות המקורבות ליועצת או בבעלותה, תוך הצגת מצגי שווא. עבודות אלו מוערכות בסכום מצטבר של מיליוני שקלים. בסיום החקירה העובדת נשלחה למעצר בית ותנאים מגבילים, ומעצרה של היועצת הוארך עד למחר. החקירה נמשכת.
המשטרה: עד כה זוהו 808 אזרחים שנרצחו במלחמה	"המשטרה עדכנה כי עד כה זוהו 808 גופות של אזרחים שנרצחו במלחמה, שהם כ-83% מהאזרחים (שאינם חיילים) שנרצחו מאז מתקפת הפתע של חמאס ב-7 באוקטובר - וגופותיהם הובאו לזיהוי במחנה ""שורה"" של הרבנות הצבאית. עוד נמסר כי עד כה הובאו לקבורה 701 חללים. "
"עשרות תושבי כפר עזה מפגינים סמוך לקריה בת""א: ""הלב שלנו שבוי בעזה"""	"עשרות תושבי כפר עזה הגיעו לצומת קפלן סמוך לקריה בתל אביב. התושבים מחזיקים שלטים שעליהם כתבו: ""רוצים אותם בבית בכפר עזה ולא בכפר בעזה"", ""קברנו  מספיק"" ו""הלב שלנו שבוי בעזה"". התושבים לבשו חולצות לבנות עם הכיתוב ""כפר עזה זה הבית שלי"", וקראו: ""כל כפר עזה מבקשים תחזירו את החטופים""."
"דובר צה""ל עדכן: מספר החטופים - 224; הפשיטה הלילה ברצועה נמשכה שעות"	"דובר צה""ל תת-אלוף דניאל הגרי אמר בהצהרתו היומית לתקשורת כי הפשיטה הקרקעית שבוצעה הלילה ברצ7ועת עזה נמשכה כמה שעות, ו""לא היו נפגעים לכוחותינו"". תא""ל הגרי ציין כי ""עד כה נמסרה הודעה למשפחות 309 חללי צה""ל, ו-224 חטופים. המספר הזה לצערי מתעדכן ומשתנה בהתאם למידע המודיעיני שעומד לרשותנו. אנחנו ממשיכים לקיים פשיטות שתכליתן לאסוף מידע בשטח, להבין מי חטוף ומי נעדר""."
מנהיגי האיחוד האירופי קוראים ל'מסדרונות הומניטריים והפסקות הומניטריות' כדי לקבל סיוע לעזה	"מנהיגי האיחוד האירופי קראו ליצירת ""מסדרונות הומניטריים והפסקות אש"" כדי להעביר סיוע שנחוץ בדחיפות לעזה. כך לפי הטיוטה הסופית של הצהרה שתאושר במהלך היום בפסגה בבריסל. ""המועצה האירופית מביעה דאגה עמוקה מהמצב ההומניטרי המידרדר בעזה וקוראת למעבר בטוח ומהיר של סיוע לאלו הזקוקים לו"", לשון ההצהרה. ""האיחוד האירופי יעבוד בשיתוף פעולה הדוק עם שותפיו באזור כדי להגן על אזרחים, לספק סיוע ולהקל על גישה של מזון, מים, טיפול רפואי, דלק ומקלטים כדי להבטיח שסיוע כזה לא ינוצל לרעה על ידי ארגוני טרור""."
"מפקד משמרות המהפכה: ""אם ישראל תמשיך בטבח - היא תישרף באש שהציתה"""	"מפקד משמרות המהפכה של איראן חוסיין סלאמי אמר כי ""ארצות הברית מציתה את אש המלחמה באזור. ישראל מפציצה את עזה מהאוויר כי אם תיכנס קרקעית - היא תספוג תבוסה גדולה וכוחותיה ייקברו שם"". לדבריו, ""וושינגטון שולחת אמריקנים לתל אביב כדי לתמוך בישראל הקורסת. גם ארה""ב, צרפת ובריטניה ספגו תבוסה אדירה ב'מבול אל-אקצא'. ישראל צריכה לדעת שאם תמשיך בטבח - היא תישרף באש שהציתה""."
"ח""כ מהציונות הדתית: ""הגענו למצב שישראל לא הייתה ערוכה אליו, לא חסר כסף"""	"ח""כ צבי סוכות (הציונות הדתית) התייחס בריאיון ל-ynet Live לחלוקת כספים ותוכניות מתן פיצויים לאלו שנפגעו כתוצאה מהמלחמה, ואמר: ""כשעובדים מהר, עדיין באירוע בהיקף כזה לא מצליחים לגעת בכל הפרטים. ואנחנו עובדים מהר"". לדבריו, ""כל משרדי הממשלה עובדים מסביב לשעון. אנחנו מקבלים אלפי פניות. הגענו למצב שישראל לא הייתה ערוכה אליו. אנחנו רק בתחילת האירוע. אנחנו לא נמצאים במצב שחסר כסף. כולם אומרים קחו את הכסף משם, יש כסף, אנחנו לא בבעיה""."
פועל נהרג בנפילה לבור במטה יהודה	"פועל בשנות ה-50 לחייו נהרג בנפילה לבור באתר עבודה במושב ישעי שבמועצה האזורית מטה יהודה. צוות מד""א קבע את מותו במקום."
"עזה: ""7,000 הרוגים מתחילה המלחמה, עשרות אלפים פצועים ונעדרים"""	"לשכת המידע הממשלתית בעזה דיווחה כי מניין ההרוגים ברצועת עזה עלה ל-7,000, וכי ישנם עשרות אלפי פצועים ונעדרים. ""אנחנו סובלים ממחסור במנגנונים המיועדים לחלץ קורבנות מתחת להריסות"", מסרה הלשכה."
"האו""ם: למרות הקריאה של צה""ל לאזרחים להתפנות - אין שום מקום בטוח בעזה"	"מתאמת העניינים ההומניטריים של האו""ם לשטחים הפלסטיניים לין הייסטינגס הזהירה כי ""אין מקום בטוח בעזה בעקבות ההפצצות הישראליות"" מאז תחילת המלחמה ב-7 באוקטובר. הייסטינגס אמרה בהצהרה כי ""האזהרות המוקדמות שפרסם הצבא הישראלי לאוכלוסיות להתפנות מהאזורים שאותם תקף לא מייצרים הבדל - אין מקום בטוח בעזה""."
צבע אדום בכפר עזה	התרעת צבע אדום הופעלה בכפר עזה שבעוטף.
צבע אדום בשדרות ובעוטף עזה	התרעת צבע אדום הופעלה בשדרות, איבים וניר עם שבעוטף עזה.
אחרי שעות של שקט: צבע אדום בעוטף עזה	התרעת צבע אדום נשמעה בכיסופים שבעוטף עזה, אחרי יותר מ-12 שעות של שקט.
בצל המלחמה: קבוצת עולים מצרפת הגיעה הלילה לישראל	"קבוצה של עולים מצרפת נחתה הלילה בנמל התעופה בן גוריון בטיסה מיוחדת של הסוכנות היהודית ומשרד העלייה והקליטה. שר העלייה והקליטה אופיר סופר ויו""ר הסוכנות היהודית אלוף (במיל') דורון אלמוג קיבלו את פניהם והעניקו להם תעודות זהות ישראליות: ""עלייתכם לישראל בעת המלחמה היא רוח גבית לצה""ל ולמדינה""."
"צעירה מרמלה נעצרה בעקבות פוסט תמיכה בחמאס: ""אלוהים, תהרוג אותם לחלוטין"""	"תושבת רמלה (19) נעצרה לאחר שפרסמה ברשת פוסט המעודד תמיכה בחמאס והטבח שביצע ובו כתבה: ""אלוהים, פזר אותם את כולם. אלוהים, תקרע אותם לגזרים. אלוהים, הורד את המספר שלהם. אלוהים, תהרוג אותם לחלוטין"". בהמשך היום תובא הצעירה בפני שופט בבקשה להאריך את מעצרה. מתחילת המלחמה המשטרה עצרה 120 חשודים והוגשו 18 כתבי אישום בהליך מזורז נגד מסיתים לאלימות וטרור."
"צה""ל תקף ביממה האחרונה יותר מ-250 מטרות של חמאס ברצועת עזה"	"ביממה האחרונה מטוסי קרב של צה""ל תקפו יותר מ-250 מטרות של חמאס ברצועת עזה. כך מסר דובר צה""ל שציין כי בין המטרות שנתקפו, תשתיות טרור, מפקדות מבצעיות, פירי מנהרות טרור ומשגרי רקטות המוצבים בסביבה אזרחית שבוצע באמצעותם ירי לעבר ישראל במהלך הלחימה. בנוסף, לוחמי זרוע הים תקפו עמדת שיגור של טילי קרקע אוויר של מערך האווירי של ארגון הטרור חמאס באזור חאן יונס, העמדה מוקמה בסמוך למסגד ולגן ילדים."
"השר זוהר ל-ynet Live: ""תקום ועדת חקירה ממלכתית שתחקור את המחדל"""	"שר התרבות והספורט מיקי זוהר אמר בריאיון ל-ynet Live כי ""תקום ועדת חקירה ממלכתית"" שתחקור את המחדל ב-7 באוקטובר. לדבריו, ""הוועדה תהיה בלתי תלויה, שכל הציבור בישראל יוכל לסמוך עליו והיא זו שתכריע בשאלת האשמה. האם אנחנו כממשלה אחראיים? בוודאי"". השר זוהר ציין כי ההצהרה שנשא אתמול ראש הממשלה בנימין נתניהו הייתה חשובה. ""נתניהו אמר שהוא אחראי לעתיד המדינה. מי שאחראי על עתיד המדינה אחראי גם על עברה. ברור לו שהאחריות מוטלת עליו""."
החל מהיום: מענה למשפחות החטופים והנעדרים יינתן במספר 6754*	"החל מהיום יינתן מענה למשפחות החטופים והנעדרים על-ידי מרכז מהל""ב במספר 6754* כך נמסר בהודעה משותפת למשטרה ולמשרד ראש הממשלה. מרכז מהל""ב הוא מרכז השליטה הלאומי לטיפול במשפחות החטופים והנעדרים. המרכז פועל במשך כל ימות השבוע ובכל שעות היממה, ופועלים בו נציגי משטרה לצד גורמים נוספים ממשרדי הממשלה השונים. מוקד 105 של המשטרה ימשיך לתת מענה למשפחות החללים, בנוסף לייעודו המקורי כמוקד המטה הלאומי להגנה על ילדים ברשת."
"האו""ם: זיהינו את המפקד והיחידה בצה""ל שאחראים להרג העיתונאית אבו עאקלה"	"ועדת החקירה הבינלאומית העצמאית של האו""ם טענה כי זיהתה את המפקד והיחידה הצבאית בצה""ל שלדעתה אחראים ככל הנראה להרג של העיתונאית הפלסטינית-אמריקנית שירין אבו עאקלה בשנה שעברה. כך דווח ברשת CNN האמריקנית. הוועדה לא חשפה את שם החייל, אך ציינה כי מדובר ביחידת דובדבן. אבו עאקלה נהרגה במהלך חילופי אש שניהלו כוחות צה""ל עם חמושים פלסטינים במחנה הפליטים ג'נין במאי 2022. יו""ר הוועדה נאווי פילאי אמרה כי החקירה הגיעה למסקנה ""שכוחות הביטחון הישראליים השתמשו בכוח קטלני ללא הצדקה במסגרת חוק זכויות האדם הבינלאומי, ובכוונה או בפזיזות הפרו את זכותה של אבו עאקלה לחיים""."
הולך רגל נהרג מפגיעת אוטובוס שהידרדר בבני ברק	"הולך רגל בשנות ה-30 לחייו נהרג מפגיעת אוטובוס שהידרדר לעברו ברחוב קהילות יעקב בבני ברק. צוות מד""א קבע את מותו במקום."
הממשלה אישרה הקצאת 105 מיליון שקלים סיוע לרשויות מקומיות הסמוכות לגבול	הממשלה אישרה במשאל טלפוני דחוף הקצאת 105 מיליון שקלים לסיוע חירום לרשויות המקומיות הסמוכות לגבול בצפון ובעוטף עזה ולרשויות מקומיות שתושביהם לא פונו לצורך התמודדות עם מצב החירום. 35 מיליון שקלים יוקצו ליישובי הצפון הנמצאים בטווח של 5-0 קילומטרים מהגבול, ו-70 מיליון שקלים יוקצו ליישובים בעוטף עזה המצויים בטווח של 7-0 קילומטרים מגבול רצועת עזה ותושבי שדרות. בדברי ההסבר להחלטה צוין כי חלק מהתקציב יגיע מהכספים שהוקדשו ליישום ההסכמים הקואליציוניים. 
משתמשים מדווחים: חלק מערוצי חמאס בטלגרם נחסמו גם באפליקציה לאייפון	משתמשים מדווחים כי חלק מערוצי חמאס, בהם גם של ערוץ הזרוע הצבאית גדודי עז א-דין אל-קסאם, נחסמו בגרסת ה-iOS של טלגרם. מאפל טרם נמסרה תגובה. ביום שני חסמה טלגרם ערוצים של ארגון הטרור בגרסה לאנדרואיד שמופצת בחנות גוגל פליי, בעקבות דרישה של גוגל. הפלטפורמה הפנתה את המשתמשים שרוצים להמשיך לעקוב אחרי חמאס להוריד את האפליקציה ישירות מהאתר שלה. הערוצים עדיין זמינים גם בגרסת טלגרם למחשב.
צעיר נפצע קשה בעימותים עם פלסטינים בחווה חקלאית בבנימין	"שני צעירים יהודים נפצעו, אחד מהם באורח קשה והשני באורח קל, לאחר שעל פי החשד הותקפו באבנים במהלך עימות עם כמה פלסטינים בחווה חקלאית פרטית של משפחה פלסטינית ליד צומת רימונים שבבנימין. החשודים נמלטו לאחד הכפרים הסמוכים. צוות מד""א פינה אותם לבית החולים שערי צדק בירושלים, וכוחות צה""ל נמצאים במקום. לטענת המשפחה הפלסטינית, בני המשפחה הגיעו הבוקר לקטוף זיתים והמתנחלים הם אלו שתקפו אותם. אב ובנו פונו לבית חולים לקבלת טיפול רפואי."
"צפון קוריאה: ""ישראל מבצעת פשעי מלחמה בחסות ארה""ב"""	"משרד החוץ של צפון קוריאה האשים את ישראל בהפצצת בית החולים אל-האלי בעזה ב-17 באוקטובר, וטען כי היא ביצעה בגלוי פשע מלחמה ""תחת חסותה של ארצות הברית"". בהצהרה שהתפרסמה בסוכנות הידיעות הממלכתית של צפון קוריאה KCNA, דובר המשרד האשים גם את ארה""ב בכך ש""נתנה לישראל אור ירוק לטבח בפלסטינים ללא כל דאגה בכך שהיא מספקת לה נשק ותמיכה צבאית, כולל נושאות המטוסים שהציבה בים התיכון""."
"עוזרת מזכיר המדינה האמריקני לענייני המזה""ת תבקר בישראל ובמדינות נוספות"	"עוזרת מזכיר המדינה האמריקני לענייני המזרח התיכון ברברה ליף תגיע לביקור במזרח התיכון כדי להתייעץ עם השותפות האזוריות של ארה""ב, לקדם את המאמצים למניעת התפשטות המלחמה באזור וכדי לדון בפתרונות הומניטריים להגנה על אזרחים. תחילה תגיע ליף לאיחוד האמירויות ולאחר מכן היא תמשיך לקטאר, עומאן, מצרים, ירדן וישראל. "
"כוחות משולבים של צה""ל ביצעו הלילה פשיטה ממוקדת בצפון רצועת עזה"	"כוחות צה""ל בפיקוד חטיבת גבעתי ביצעו הלילה פשיטה ממוקדת באמצעות טנקים בשטח צפון רצועת עזה, כחלק מהכנת האזור לשלבי הלחימה הבאים. כך מסר דובר צה""ל, שציין כי במסגרת הפעילות הכוחות איתרו ותקפו מחבלים רבים, השמידו תשתיות טרור, עמדות נ""ט וביצעו עבודות לארגון האזור. הכוחות יצאו משטח הרצועה בסיום המשימה."
"העצרת הכללית של האו""ם תתכנס לדיון חירום על המלחמה בישראל, שיימשך יומיים"	"העצרת הכללית של האו""ם תתכנס היום בשעה 17:00, שעון ישראל, לדיון חירום על מלחמה בישראל, לבקשת הקבוצה הערבית ובהובלת ירדן וארגון המדינות המוסלמיות. בכנס, שיימשך יומיים, ינאם גם שר החוץ של איראן חוסיין אמיר עבדאללהיאן וביום שישי תתקיים הצבעה על הצעת החלטה שהוגשה על ידי ירדן. ההצעה, מתעלמת לחלוטין מקיומו של חמאס ולא מזכירה אותו או את הטבח שביצע, קוראת להפסקת אש מיידית ואינה מתייחסת כלל לירי הטילים והרקטות על ישראל או לזכותה להגן על עצמה."
"ארה""ב: שני שלישים מהסטודנטים האמריקנים רואים במתקפת חמאס מעשה טרור"	"שני שלישים מהסטודנטים בארה""ב, ששמעו על מתקפת הפתע של חמאס, רואים בה מעשה טרור, ורק 12% אמרו כי מדובר ב""פעולה התנגדות מוצדקת"". כך לפי סקר שנערך עבור רשת NBC האמריקנית על רקע המהומות שפרצו בקמפוסים בארה""ב בעקבות המלחמה בישראל. 52% מאלו שהשיבו על הסקר האשימו את חמאס בתקיפה, 11% האשימו את ישראל, 12% האשימו ממשלות אחרות במזרח התיכון ו-25% אמרו כי ""גורם אחר"" אשם בכך. לפי נתוני הסקר,סטודנטים רפובליקנים וסטודנטים לבנים נטו להטיל יותר את האשמה על חמאס מאשר סטודנטים דמוקרטים וסטודנטים לא לבנים."
מאות ארגונים מ-60 מדינות חתמו על עצומה הקוראת להפסקת אש מיידית בעזה ובישראל	"למעלה מ-360 אלף בני אדם ויותר מ-500 ארגונים מ-60 מדינות ברחבי העולם חתמו על העצומה ""CeasefireNOW#"" שהוגשה למועצת הביטחון של האו""ם וקוראת להפסקת אש מיידית ברצועת עזה ובישראל. העצומה, שאורגנה על ידי ארגון הסיוע הבינלאומי לילדים ""Save the Children"", גם קוראת לסיוע הומניטרי מיידי לעזה. ""זאת בושה שגוף קבלת ההחלטות הגבוה ביותר של האו""ם לשלום וביטחון בינלאומי לא יכול להתגבר על חילוקי הדעות שלו כדי להגן על הילדים הזקוקים לו ביותר"", אמר מנהל סניף הארגון בעזה ובגדה המערבית, ג'ייסון לי.  "
